NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
Lycée El Khawarizmi,0,"Avenue Med.Rafai, N° 35 - El Jadida",El Jadida,0523354213,___-__-__-__,L.khawarizmi@hotmail.com,Doukala - Abda,El Jadida,El Jadida (M)
Lycée El Qods,,"Rue 252, N° 2 - El Jadida",El Jadida,023-34-24-45,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
Lycée Ibn Rochd,0,"N° 12, Abdelkarim El Khattabi - El Jadida",El Jadida,0668500385,___-__-__-__,i.rochd@yahoo.fr,Doukala - Abda,El Jadida,El Jadida (M)
ECOLE OUM AL QORA,0,Lotissement Al Hilal 1 SAADA III N°93,El Jadida,0523390049,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
Jardin d'Enfants Plateau,,"N° 142, Avenue Bouchaib Addoukali - El Jadida",El Jadida,023-37-00-17,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
Jardin du Palmier,,Rue Moulateau - El Jadida,El Jadida,023350009-__,___-__-__-__,seillier@menara.ma,Doukala - Abda,El Jadida,El Jadida (M)
Ecole  ajyal el jawhara,0,"N° 198, Lotissement Jaouhara - El Jadida",El Jadida,040601515,___-__-__-__,ajyale2010@gmail.com,Doukala - Abda,El Jadida,El Jadida (M)
ecole shiraz,0,24    Boulevard Moukaouma - El Jadida,El Jadida,0523354804,0523354804,shiraz@menara.ma,Doukala - Abda,El Jadida,El Jadida (M)
Jardin d'Enfants L'Ange Bleu,,"N° 144, Boulevard Hassan II - El Jadida",El Jadida,023-34-24-83,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
GROUPE SCOLAIRE LA PETITE SOURCE,0,"N° 46, Boulevard Chahid Rachidi ",El Jadida,0523343411,,,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Safaa Hassania,0,Boulevard Mohamed V - El Jadida,El Jadida,023-34-27-42,023342742,,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Ibn Baja,0,"N° 434, Rue Moujahidine, Koudiat Bendriss - El Jadida",El Jadida,023-37-01-90,___-__-__-__,ibnou-baja@hotmail.com,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Ihssane2,0,"N° 202, Boulevard chahid loudyi - El Jadida",El Jadida,023-35-00-65,023341615,"gs_ihsane@yahoo,fr",Doukala - Abda,El Jadida,El Jadida (M)
Ecole El Morabitine,0,"N° 1, Rue. My Abdellah, Résidence EL Morabitine - El Jadida",El Jadida,0523340599,023340599,,Doukala - Abda,El Jadida,El Jadida (M)
Groupe Scolaire Al Jazira,0,"N° 12, Boulevard Trii ",El Jadida,0523352333,0523352333,,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Taha Hcine,0,"N° 62, Boulevard Docteur Delanoë - El Jadida",El Jadida,0523342031,___-__-__-__,ecoletahahcine@gmail.com,Doukala - Abda,El Jadida,El Jadida (M)
GROUPE SCOLAIRE NID DES ANGES II,0,LOT.NOURA.HAY AL AMAL. El Jadida,El Jadida,0523351160,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
ETABLISSEMENT ATTAKWA,0,"Lotissement Addachra, Sidi Moussa - El Jadida",El Jadida,0523352310,0523352310,elmaktoubmed@menara.ma,Doukala - Abda,El Jadida,El Jadida (M)
Ecole OUM ERRABII,0,"Avenue Al MAssira, N°17",El Jadida,0523342001,0523355230,etablissementscolaireoumrrabii@yahoo.fr,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Erraja,0,"N° 20, Rue Hafid Ibrahim - El Jadida",El Jadida,0523372156,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
Ecole TAHDIB,0,"N° 6, Rue Liban",El Jadida,0523342301,___-__-__-__,amine.tahdib@hotmail.fr,Doukala - Abda,El Jadida,El Jadida (M)
AL MANAHIL,0,"Lotissement Al Jaouhara, N° 151 - El Jadida",El Jadida,0662340421,___-__-__-__,,Doukala - Abda,El Jadida,El Jadida (M)
GROUPE SCOLAIRE ARRISSALA,0,Lotissement Al Hilal N°23 ASSAADA 3 - El Jadida,El Jadida,0523390149,,,Doukala - Abda,El Jadida,El Jadida (M)
Ecole Al Anoir,0,"Quartier Amal, N° 17 - MD SLAOUI AZEMMOUR",Azemour,0674637783,___-__-__-__,,Doukala - Abda,El Jadida,Azemmour (M)
Ecole Abou Ali Hassan Al Mourrakochi,0,Secrurie Sidi Benour - Sidi Bennour,sidi bennour,0523359424,,,Doukala - Abda,Sidi bennour,Sidi Bennour (M)
Ecole Taouss,0,cité Sucrerie Zemamra,Zemamra,0662749546,,TAOUSS06-92@hotmail.FR,Doukala - Abda,El Jadida,El Jadida (M)
Groupe scolaire AL Baraime,0,BOULEVARD MOUHAMMEDV AZEMMOUR,Azemmour,023-35-83-46,___-__-__-__,baraim.naima@menara.ma,Doukala - Abda,El Jadida,Azemmour (M)
Unité Scolaire de la Fondation Banque Populaire,0,Lotissement Riad Bendibane - Bni Makada. BP 3149 TANGER SOUANI,Tanger,0539314496,0539314497,Fbp.ust@gmail.com,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
 Al Amal,0,"Résidence Zamouri 1, Route de Rabat - Bni Makada",Tanger,0539314686,0539314686,alamal_ecole_privee@yahoo.fr,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
Omar Ibn Abdelaziz,0,"HAY JIRARI 5, N° 37 Bni Makada",TANGER,0539350518,0539350518,omarbenabdelaziz2000@yahoo.fr,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
Al Hassani,0, Avenue DES FAR,TANGER,0539311825,___-__-__-__,institutionalhassani@yahoo.fr,Tanger - Tetouan,Tanger Assilah,Bni Makada (AR)
benjamins,0,"N° 3, Rue Agadir, ville nouvelle - Hamrya",Meknès,035-40-46-18,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
l evolution,0,"N° 7, Rue abdeslame bel mokhtar A/C - Hamrya",Meknès,0535512260,0535514163,EVOLUTIONROCHDI@GMAIL.COM,Meknès - Tafilalet,Meknes,Al Ismailia (M)
AMAL,0,"N° 7, Rue Tunis, Ville Nouvelle - Hamrya",Meknès,055-40-15-14,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Flowers1,0,"N° 85, Rue El Bouihi Ahmed -  a.c",Meknès,0535404590,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
 Al Jazira,0,10 ALLEE DES JASMINS - Ain Sebaa,Casablanca,022-67-20-30,022-67-21-25,belabas2009@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ibn Al Haytam Privé,0,"N° 143, Zankat Kaid Changuiti - OUED-ZEM",oued zem,0523411019,___-__-__-__,,Chaouia - Ourdigha,Khouribga,Oued Zem (M)
Ecole Ennour ,0,N° 74 Zankat Moulay Abdellah - Khouribga,Khouribga,0523490437,023-49-53-55,,Chaouia - Ourdigha,Khouribga,Khouribga (M)
ANNEXE AL KHAWARIZMI,0,"Avenue Oman, N° 100, Mssila - Bhalil",Sefrou,0533220224,___-__-__-__,ahmed-26121971@hotmail.com,Fès - Boulmane,Sefrou,Bhalil (M)
Ibnou El Haytam,0,N° 60ROUTE IFRANE IMOUZER Kandar,Sefrou,0534523687,___-__-__-__,,Fès - Boulmane,Sefrou,Imouzzer Kandar (M)
Salah Eddine,0,"N° 12, Avenue Ait Sbaa - Imouzzer Kandar",Sefrou,035-66-37-37,___-__-__-__,SDALAYoubi@HOTMAIL.COM,Fès - Boulmane,Sefrou,Imouzzer Kandar (M)
Ibnou Sinae,,"N° 70, Avenue Lahcen Lyoussi - Sefrou",Sefrou,055-66-01-36,___-__-__-__,,Fès - Boulmane,Sefrou,Sefrou (M)
El Hayat,0,"N° 25, Avenue Ibn Khaldoun, Ville nouvelle - Sefrou",Sefrou,034-10-56-61,___-__-__-__,,Fès - Boulmane,Sefrou,Sefrou (M)
Al Azhar,0,"N° 85, Avenue Yacoub El Mansour, Seti Massouda - Sefrou",Sefrou,035-66-25-10,___-__-__-__,www.aya1.1hotmail.com,Fès - Boulmane,Sefrou,Sefrou (M)
LE JASMIN,0,"N° 98 Bis, Avenue Yacoub El Mansour - Sefrou",Sefrou,035-68-29-00,03568-29-00,,Fès - Boulmane,Sefrou,Sefrou (M)
Asmae 1,0,"Villa Kamal, Route El Menzel - Sefrou",Sefrou,035-66-27-20,___-__-__-__,ecoleasmae@gmail.com,Fès - Boulmane,Sefrou,Sefrou (M)
Omar Ibn Abdelaziz,0,"N° 64, Avenue Youssef Ben Tachafine, Setti Massouda - Sefrou",Sefrou,061-83-99-53,___-__-__-__,hamid-bahou@hotmail.fr,Fès - Boulmane,Sefrou,Sefrou (M)
AL FORAT,0,"N° 99, Route El Menzel - Sefrou",Sefrou,035-68-30-08,___-__-__-__,alfourate@menara.ma,Fès - Boulmane,Sefrou,Sefrou (M)
Institut de Promotion Socio- Educative,0,Groupe Office Cherifien des Phosphates - Ben Guerir,Ben Guerir,0524318683,0524318683,,Marrakech - Tensift - Al Haouz,Rehamna,Ben Guerir (M)
Etablissement Najah,,"N° 17, Lotissement Salam - Ben Guerir",Ben Guerir,024-31-85-46,___-__-__-__,,Marrakech - Tensift - Al Haouz,Rehamna,Ben Guerir (M)
Lycée Essaada ben guerir,,"N° 335, Lotissement El Bour - Ben Guerir",Ben Guerir,044-31-81-61,___-__-__-__,,Marrakech - Tensift - Al Haouz,Rehamna,Ben Guerir (M)
Etablissement Amal ben guerir,0,"N° 181, Lotissement El Kodia - ben guerir",ben guerir,024-31-80-93,___-__-__-__,,Marrakech - Tensift - Al Haouz,Rehamna,Ben Guerir (M)
Etablissement Oumnia II,0,"N° 8, Hay Arsa - Kelaat Sraghna",EL Kelaa Des Sraghna,044-41-40-07,___-__-__-__,,Marrakech - Tensift - Al Haouz,El Kelaa Des Sraghna,EL Kelaa Des Sraghna (M)
Institut El Bouchra,,"N° 304, Arsat Hadj Tahar - Kelaat Sraghna",El Kelaa Des Sraghna,044-41-26-33,___-__-__-__,,Marrakech - Tensift - Al Haouz,El Kelaa Des Sraghna,EL Kelaa Des Sraghna (M)
Lycée Ibn Khaldoun,,"N° 5, Rue Beni Mellal - Kelaat Sraghna",El Kelaa Des Sraghna,024-41-26-93,___-__-__-__,,Marrakech - Tensift - Al Haouz,El Kelaa Des Sraghna,EL Kelaa Des Sraghna (M)
Institut Ouadi Ennil,0,"N° 505, Bd. Mohammed VI (ex. Route Mediouna) - Al Idrissia",Casablanca,022-28-18-68,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Ecole Ennasr Privée,0,"Bd. Grande Ceinture, Rue 17, Cité Omar Ibn El Khattab",Casablanca,022-80-35-82,___-__-__-__,ennasr@hotmail.ma,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Ecole Attawfiq Privée,,"Cité Omar Ibn El Khattab, Rue 6 N° 8 -  Al Idrissia",Casablanca,022824902,022-80-54-30,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Lycée Al Farah ,0,"Amal II, Rue 68, N° 3- Al Idrissia",Casablanca,022-28-36-99,022-28-36-99,farahinfopriv@yahoo.fr,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Anwal Privé,0,"N° 1270, Avenue Al Fida, Ain Chiffa III - AL Idrissia",Casablanca,022-82-31-26,022-82-31-25,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Ecole Al Hayat El Islamia,,"Cité Korea, Rue 28, N° 47 - Al Fida",Casablanca,022-28-06-72,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Ecole Ibnou El Atlas ,0,"Bd. El Fida, Derb Chorfa Et Tolba, Rue 18 , N° 4 - Al Fida",Casablanca,022-28-36-56,___-__-__-__,ibnoalatlas@gmail.com,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
 Al Wahda Al Arabia Privée,,"N° 71, Bd. Capitaine Idriss Mesfioui -  Al Fida",Casablanca,022-28-27-09,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
Groupe Scolaire Ahmed Chawqui,0,"N° 73, Avenue Nador - Al Fida",Casablanca,022-80-64-92,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Al Fida (AR)
 Assounna,,"Hay Es-smara, Rue 8, N° 4 - Bouchentouf",Casablanca,022-28-69-05,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Sidi Mohamed Ben Youssef Privée,0,"N° 63, Rue Mounaster - Bouchentouf",Casablanca,022-28-12-94,___-__-__-__,ECOLE1946@hotmail.FR,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Echaâb El Mohammadi,,"Hay Laâyoune, Rue 47, N° 28 - Bouchentouf",Casablanca,022-28-19-16,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole El Ahrar,,"N° 109, Boulevard El Gharb - Bouchentouf",Casablanca,022-28-01-25,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Al Anouar,,"Rue 39, NO 274 - Bouchentouf",Casablanca,022-28-05-72,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Al Maârif,,"N° 7, Avenue Nador, l'Hermitage - Bouchentouf",Casablanca,022-28-89-13,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Institut rachad PRIVE,0,"N° 1, Avenue Nador - Bouchentouf",Casablanca,022-28-13-57,022839361,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole El Idrissi Privée,,"Derb El Mitr, Rue 4, N° 26 - Bouchentouf",Casablanca,022-28-34-49,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole El Houda,,"N° 3, Avenue Nador - Bouchentouf",Casablanca,022-28-12-68,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
El Falah,0,"Derb Kabir, Avenue Ahmed Sabague, N° 108 - Bouchentouf",Casablanca,022-83-72-01,___-__-__-__,ECO_falahe@hotmail.fr,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Abi Chouaib Al Azemmouri II,0,"N° 51, Rue el khouzama La Gironde - ",Casablanca,022-85-01-34,022850134,ecoleazemmouri@yahoo.fr,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Institut Hatim,,"Bd. Mohamed VI Et Rue Lagaronne, N° 2 - Bouchentouf",Casablanca,022-80-70-06,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Institution Maintenon,0,"N° 17, Boulevard 2 Mars - Mers Sultan",Casablanca,022-22-15-43,,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole du Prince Moulay Hassan,,"N° 32, Boulevard Moulay Idriss 1 er - Mers Sultan",Casablanca,022-28-56-38,022-28-56-38,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Institution Al Madania,0,"N° 29, Rue Ibn Toumert - Mers Sultan",Casablanca,022-30-16-54,022-30-16-54,contact@écolemadania.com,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Bouâanania,,"N° 67, Boulevard Omar El Idrissi - Mers Sultan",Casablanca,022-22-70-80,,bouanania@hotmail.com,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Ecole Omar El Idrissi,0,"N° 28, Boulevard Omar El Idrissi - Mers Sultan",Casablanca,0522302359,0522314772,eoi2p@hotmail.fr,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Groupe Scolaire La Résidence 1,,"N° 157, Boulevard Lahcen Ouiddar - Mers Sultan",Casablanca,022-30-75-52,022-44-14-17,gsr@gsr.ac.ma,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
 AL-AMANA,0,"N° 11, Rue Caid Ahmed - Mers Sultan",Casablanca,022-81-33-37,___-__-__-__,al-amana@menara.ma,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Institut La Princesse Aicha,0,"N° 1, Rue Al Masjid Houbous - Mers Sultan",Casablanca,022-30-97-95,022309795,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Lycée Al Maarifa,,"N° 27, Rue Rome - Mers Sultan",Casablanca,022-28-74-94,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
 Lycée Groupe Scolaire LA RESIDENCE,0,"N° 89, Boulevard 2 Mars - Mers Sultan",Casablanca,022-80-90-50,022-80-90-52,www.gsr.ac.ma ,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
 Jardin d'enfants LE MANEGE,,"N° 19, Rue De Rome - Mers Sultan",Casablanca,022-27-32-60,022-27-32-62,,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Maternelle du Groupe Scolaire de la Résidence 3,0,"N° 32, Rue Omar El Idrissi - Mers Sultan",Casablanca,022-45-05-92,022-45-05-93,gsr@ac.ma,Grand Casablanca,Al fida_Mers Sultan,Mers Sultan (AR)
Groupe Scolaire La Résidence II,,"N° 36, Rue Ibn Toumert - Mers Sultan",Casablanca,022-44-26-60,022-30-59-09,,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
"Erable, Institut My Idriss Al Azhar",,"N° 8-12, Avenue Ahmed Figuigui -  Méchouar de Casablanca",Casablanca,022-30-96-09,022-44-72-87,,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Groupe Scolaire Victor Hugo,,"N° 9, Rue Al Baria Eddabas - Méchouar de Casablanca",Casablanca,022-30-58-08,022-30-60-62,,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Institut Attariq Al Akhdar Privé,,"N° 29, Rue Omar El Idrissi - Méchouar de Casablanca",Casablanca,022-30-33-72,022-44-41-21,alaoui.fatima@menara.ma,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Groupe Scolaire La Résidence 4,,"N° 3, Rue Eddabbas  -  Méchouar de Casablanca",Casablanca,022-45-15-49,022-45-15-49,www.gsr@ac.ma,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Ecole Omar El Idrissi - Annexe,0,"N° 4, Rue Plateau Du Kliere - Méchouar De Casablanca",Casablanca,022-30-29-15,___-__-__-__,omarIDRISSI09@gmail.com,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Lycée el Fadel,0,"N° 62 Bis, Rue Ahmed Figuigui - Méchouar de Casablanca",Casablanca,022-30-36-40,___-__-__-__,elfadelpriv@hotmail.com,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Racine,0,"Quartier Des Habous, Rue 15, N° 10 - Méchouar de Casablmanca",Casablanca,070-98-26-30,___-__-__-__,,Grand Casablanca,Al fida_Mers Sultan,Mechouar de Casablanca (M)
Ibn Khaldoune,,"2, Rue Ahfir, Place Oum Saâd",Laayoune,028-99-42-94,028-99-42-94,,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Annidaâ Attarbaoui,," 17 Avenue Maghreb Arabe, Hay My Rachid",Laayoune,028-99-16-26,028-99-16-26,annidaa-t@hotmail.com,Laayoune- Boujdour - Sakia AlHamra,Laayoune,Laayoune (M)
Mohamed Ben Abdellah,,Rue Ibn El Khatib - Agdal,FES,035-60-05-09,035-60-05-09,,Fès - Boulmane,Fès,Agdal (AR)
Al Ichraq,0,"Hay Al Adarissa I, N° 395 - Agdal",FES,035-60-41-88,___-__-__-__,istituichraque@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
Kortoba,0,"N° 7, Rue Jordanie, Ville Nouvelle - Agdal",FES,035-62-22-34,___-__-__-__,ets.kortoba@menara,Fès - Boulmane,Fès,Agdal (AR)
Maahadi,0,"N° 2, Rue Bir Inzarane - Agdal",FES,035-64-28-27,___-__-__-__,Mon-colege@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
lazrak,0,"Quartier Al Amal, Lotissement El  Hajoui Dokarat - Agdal",FES,035650464,035650470,madarislazrak@windowslive.com,Fès - Boulmane,Fès,Agdal (AR)
Sainte Thérèse,0,"N° 90, Rue Omar Drissi - Agdal",FES,035-65-17-87,035-65-34-44,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
Mohamed VI,0,HAY OUALIE AL AAHD ZENKAT AZZOUBIR IBN AL AOUAME,FES,035641414,___-__-__-__,ecolemohamed6@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
SOUKRAT,0,N 13 AV ABDEAZZIZ BEN DRISS,FES,,,,Fès - Boulmane,Fès,Agdal (AR)
Al Irfane,0,"N° 20, Rue Abou Al Fida, Bd. Allal Ben Abdellah - Agdal",FES,0535625529,___-__-__-__,alirfanefes@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
Tariq Ibn Ziad,0,lotissement elhajoui  chant de course agdal     ,FES,0535650891,___-__-__-__,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
Al Moustakbal,0,N10 Rue 20 qyartier prince heritier ,FES,035-64-22-75,___-__-__-__,al-moustakbal1@hotmail.fr,Fès - Boulmane,Fès,Agdal (AR)
Al Firdaous,0,hay al adarissa route ain chekef n 410,FES,0535603030,,gs.alfirdaous@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
groupe scolaire idriss1,0,Route immouzer km 2 fes,FES,0535600917,___-__-__-__,MIDRIS1ECOLE@GMAIL.COM,Fès - Boulmane,Fès,Saiss (AR)
Al Manhal,0,route taha hssine hay saada n17 ,FES,035603751,___-__-__-__,mhamedbenslimane@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
groupe scolaire la residence,0,4 Rue ibn zeidan hay saada 1   ,FES,0535607780,0535604444,ALIKAMA@Menara.ma,Fès - Boulmane,Fès,Agdal (AR)
Mimosa,0,35 av abdelkrim sekkat hay badr,FES,0535600837,___-__-__-__,AZIZFAYEZ2010@HOTMAIL.COM,Fès - Boulmane,Fès,Agdal (AR)
AL BAYANe,0,hay sidi brahim ru laayoune  N =°88,FES,035659240,___-__-__-__,ALBAYANE789@HOTMAIL.COM,Fès - Boulmane,Fès,Agdal (AR)
Al Imam Al Ghazali,0, AVENUE ibn khatib DERB PORT SAID,FES,035-60-73-91,035-60-10-08,IMAMGHAZALI@MENARA.MA,Fès - Boulmane,Fès,Agdal (AR)
Samir Amine,,boulevard ibn khatib rue mimouza agdal,FES,035609403,035609154,SAMIRAMINE@MENARA.MA,Fès - Boulmane,Fès,Agdal (AR)
Arrissala,0,hay aladarissa N423,FES,035-60-91-37,035-60-59-53,eaep92@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
Les Pyramides,0, av. Ibn al Khateb rue el Kahira n°9 allée des mimosas,FES,0535607357,___-__-__-__,ramdaniabd@yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
Al Azhar,,boulevard elhanae hay narjiss A N13 ,FES,035-64-10-39,___-__-__-__,,Fès - Boulmane,Fès,Saiss (AR)
Espace Ghita,0,boulevard khalid ibn oualid N 4 agdal,FES,035641239,___-__-__-__,,Fès - Boulmane,Fès,Agdal (AR)
Arc En Ciel,0,rue abi dardae route imouzer N9 ,FES,035643041,___-__-__-__,arcenceifes  hahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
Dinia,0,Lot Al Wafae 4 Route Sidi Hrazem,FES,0535615189,___-__-__-__,,Fès - Boulmane,Fès,Saiss (AR)
LA CALECHE,, rue el ouen N5 agdal,FES,035932320,035932320,,Fès - Boulmane,Fès,Agdal (AR)
Al Massar,0, hay adarissa N 397 agdal,FES,035-60-48-12,035-60-48-12,almassar@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
l horizon 2,0,rue bjaia route imouzzer N5 agdal ,FES,035-60-27-19,035-96-20-37,g.scoLairehorizon@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
ALAE ADDINE,0,boulevard port said 3 & 4 rue ibn khateb,FES,0535601478,___-__-__-__,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
AL KHAYYAM,0,1 RUE 27 AV ETTABARI SAADA 1,FES,035-61-23-10,035-61-23-10,CAPGE@MENARA.MA,Fès - Boulmane,Fès,Agdal (AR)
Al Bahi,0,Route yassamine3 hay narjissA,FES,0535731576,___-__-__-__,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Saiss (AR)
L oasis,0,10 av ibn al korchi quartier prince heritier  ,FES,0535731737,035610910,INSTITOASIS@YAHOO.FR,Fès - Boulmane,Fès,Agdal (AR)
AL CACHY,0,7 RUE ABIDARDAe ROUTE IMOUZZER,FES,0535732978,0535734071,eacpge.ma@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
La Couronne,0,13  Route ahmed amine ,FES,035-94-16-65,___-__-__-__,,Fès - Boulmane,Fès,Agdal (AR)
ALFRED NOBEL,0,546 LOT RIAD ROUTE DE SEFROU,FES,0535614738,___-__-__-__,,Fès - Boulmane,Fès,Saiss (AR)
MOLIERE,0,36 AV ABI HORAIRA BOURAMMANA,FES,035-73-40-32,035-64-01-74,ECOLEMOLIERE@HOTMAIL.COM,Fès - Boulmane,Fès,Agdal (AR)
Al Achbal,0, 43 rue essakre avenue alkarama hay zohour 1,FES,0535607722,___-__-__-__,ECOLEALACHBAL@MENARA.MA,Fès - Boulmane,Fès,Saiss (AR)
L horizon 1,0,134 boulevard alal ben abd allah V.N,FES,035-62-37-21,___-__-__-__,g.scolairehorizon@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
Al Imtiaz,0,18 Route ain chkef km1.7 ,FES,035-61-25-50,035-60-26-21,EXCELECOLE@HOTMAIL.COM,Fès - Boulmane,Fès,Saiss (AR)
Al Koutkout Assaghir,0,2 boulevard douminik rue abi horaira imouzzer ,FES,035610446,___-__-__-__,etab@yahoo.fr,Fès - Boulmane,Fès,Saiss (AR)
Al Kaoutar,0,6 rue kartaj route ainchekef,FES,0535609713,0535609713,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
YOURCENAR,0,67 boulevard ibn khatib route AIN CHKEF,FES,053561-25-26,___-__-__-__,ecole-yourcenar@menara.ma,Fès - Boulmane,Fès,Agdal (AR)
g.s Al Kalam 1,0,140 avenue ismaillia  zohour 1 montfleuri rte de sefrou,FES,0535732645,,ALKALAM1999@YAHOO.FR,Fès - Boulmane,Fès,Saiss (AR)
Al Manal,0, 4 Rue abi hanifa,FES,0535943071,___-__-__-__,ecole.al manal fès@gmail.com,Fès - Boulmane,Fès,Agdal (AR)
Mekouar,0,"N° 15, Boulevard Khalid Ibn Al Walid - Agdal",FES,035-73-19-54,___-__-__-__,ETABLISSEMENT_MEKOUAR@YAHOO.FR,Fès - Boulmane,Fès,Agdal (AR)
Groupe Scolaire Amine,0,185 lotissement al hajoui dekarret ,FES,035940024,___-__-__-__,fes.Etab@ yahoo.fr,Fès - Boulmane,Fès,Agdal (AR)
Al Khalifa  Al Farouk,0,10 Rue abdselem  el mestaoui Av mohamed el fassi quartier al adarissa,FES,0535612225,0535612225,ekf@live.fr,Fès - Boulmane,Fès,Agdal (AR)
Ikrae,0,41 rue zeriab Hay bedr route ain smen ,FES,035-60-77-01,035-60-45-54,IKRAE99@HOTMAIL.COM,Fès - Boulmane,Fès,Agdal (AR)
G/S Malaikat fas,0,Rue ibn atir hay anas1,FES,035608721,035608721,groupemalaika@hotmail.com,Fès - Boulmane,Fès,Agdal (AR)
